[Mon Apr 30 20:50:55.559064 2018] [:error] [pid 1326] [client 127.0.0.1:38804] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 153, referer: http://localhost/search.php
[Mon Apr 30 20:51:18.121896 2018] [:error] [pid 3939] [client 127.0.0.1:38814] PHP Warning:  require(user_functions.php): failed to open stream: No such file or directory in /home/jnisbet/git/IT490-1/owned.php on line 39, referer: http://localhost/profile.php
[Mon Apr 30 20:51:18.121951 2018] [:error] [pid 3939] [client 127.0.0.1:38814] PHP Fatal error:  require(): Failed opening required 'user_functions.php' (include_path='.:/usr/share/php') in /home/jnisbet/git/IT490-1/owned.php on line 39, referer: http://localhost/profile.php
[Mon Apr 30 20:52:20.451722 2018] [:error] [pid 3071] [client 127.0.0.1:38820] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 153, referer: http://localhost/search.php
[Mon Apr 30 20:55:06.536468 2018] [:error] [pid 3083] [client 127.0.0.1:38946] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 153, referer: http://localhost/search.php
[Mon Apr 30 20:55:55.416190 2018] [:error] [pid 3084] [client 127.0.0.1:38964] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 153, referer: http://localhost/search.php
[Mon Apr 30 20:58:22.240554 2018] [:error] [pid 3085] [client 127.0.0.1:39020] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 153, referer: http://localhost/search.php
[Mon Apr 30 21:00:31.970827 2018] [:error] [pid 3939] [client 127.0.0.1:39040] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 153, referer: http://localhost/search.php
[Mon Apr 30 21:12:53.331179 2018] [:error] [pid 1327] [client 127.0.0.1:39132] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 148, referer: http://localhost/search.php
[Mon Apr 30 21:17:32.994425 2018] [:error] [pid 3083] [client 127.0.0.1:39156] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 148, referer: http://localhost/search.php
[Mon Apr 30 21:17:38.365639 2018] [:error] [pid 3083] [client 127.0.0.1:39156] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 148, referer: http://localhost/search.php
[Mon Apr 30 21:17:43.710804 2018] [:error] [pid 3083] [client 127.0.0.1:39156] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 148, referer: http://localhost/search.php
[Mon Apr 30 21:17:52.646533 2018] [:error] [pid 3083] [client 127.0.0.1:39156] PHP Warning:  require(user_functions.php): failed to open stream: No such file or directory in /home/jnisbet/git/IT490-1/owned.php on line 39, referer: http://localhost/profile.php
[Mon Apr 30 21:17:52.646827 2018] [:error] [pid 3083] [client 127.0.0.1:39156] PHP Fatal error:  require(): Failed opening required 'user_functions.php' (include_path='.:/usr/share/php') in /home/jnisbet/git/IT490-1/owned.php on line 39, referer: http://localhost/profile.php
[Mon Apr 30 21:17:58.505172 2018] [:error] [pid 3083] [client 127.0.0.1:39156] PHP Warning:  require(user_functions.php): failed to open stream: No such file or directory in /home/jnisbet/git/IT490-1/recommended.php on line 39, referer: http://localhost/profile.php
[Mon Apr 30 21:17:58.505232 2018] [:error] [pid 3083] [client 127.0.0.1:39156] PHP Fatal error:  require(): Failed opening required 'user_functions.php' (include_path='.:/usr/share/php') in /home/jnisbet/git/IT490-1/recommended.php on line 39, referer: http://localhost/profile.php
[Mon Apr 30 21:21:02.320955 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.321024 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.321065 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.321080 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334331 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334377 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334389 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334403 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334412 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334426 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334765 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334783 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334792 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334882 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:21:02.334894 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442656 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442717 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442734 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442745 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442758 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442767 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442776 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442799 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442809 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442819 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442828 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442838 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442846 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442929 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
